"stack_number"	"stack_name"
1	"(Intercept)"
2	"att"
3	"age"
4	"sexgirl"
5	"ethnnon-european, other"
6	"ethnmoroccan"
7	"ethnsurinames_antillian"
8	"ethnturkish"
9	"ethneuropean, other"
10	"ethnwhite"
11	"ethnblack"
12	"ethnhispanic"
13	"ethnasian"
14	"ethnother"
15	"educmMedium"
16	"educmHigh"
17	"psych_m"
18	"tobaccoyes"
19	"age_m"
